timestamp,bpm,source
"2025-07-17T05:18:55+00:00",74,"awake"
"2025-07-17T05:22:37+00:00",74,"awake"
"2025-07-17T05:22:54+00:00",76,"awake"
"2025-07-17T05:23:13+00:00",78,"awake"
"2025-07-17T05:46:30+00:00",93,"workout"
"2025-07-17T05:46:40+00:00",92,"workout"
"2025-07-17T05:46:50+00:00",91,"workout"
"2025-07-17T05:47:00+00:00",90,"workout"
"2025-07-17T05:47:10+00:00",88,"workout"
"2025-07-17T05:47:20+00:00",88,"workout"
"2025-07-17T05:47:30+00:00",86,"workout"
"2025-07-17T05:47:40+00:00",85,"workout"
"2025-07-17T05:47:50+00:00",85,"workout"
"2025-07-17T05:48:00+00:00",85,"workout"
"2025-07-17T05:48:10+00:00",85,"workout"
"2025-07-17T05:48:20+00:00",86,"workout"
"2025-07-17T05:48:30+00:00",87,"workout"
"2025-07-17T05:48:40+00:00",89,"workout"
"2025-07-17T05:48:50+00:00",91,"workout"
"2025-07-17T05:49:00+00:00",93,"workout"
"2025-07-17T05:49:10+00:00",93,"workout"
"2025-07-17T05:49:20+00:00",91,"workout"
"2025-07-17T05:49:30+00:00",92,"workout"
"2025-07-17T05:49:32+00:00",92,"workout"
"2025-07-17T05:49:37+00:00",92,"workout"
"2025-07-17T05:49:42+00:00",92,"workout"
"2025-07-17T05:49:47+00:00",92,"workout"
"2025-07-17T05:49:52+00:00",92,"workout"
"2025-07-17T05:49:57+00:00",91,"workout"
"2025-07-17T05:50:02+00:00",91,"workout"
"2025-07-17T05:50:07+00:00",92,"workout"
"2025-07-17T05:50:12+00:00",92,"workout"
"2025-07-17T05:50:17+00:00",92,"workout"
"2025-07-17T05:50:22+00:00",91,"workout"
"2025-07-17T05:50:27+00:00",90,"workout"
"2025-07-17T05:50:32+00:00",90,"workout"
"2025-07-17T05:50:37+00:00",90,"workout"
"2025-07-17T05:50:42+00:00",89,"workout"
"2025-07-17T05:50:47+00:00",89,"workout"
"2025-07-17T05:50:52+00:00",89,"workout"
"2025-07-17T05:50:57+00:00",88,"workout"
"2025-07-17T05:51:02+00:00",88,"workout"
"2025-07-17T05:51:07+00:00",89,"workout"
"2025-07-17T05:51:12+00:00",89,"workout"
"2025-07-17T05:51:17+00:00",89,"workout"
"2025-07-17T05:51:22+00:00",89,"workout"
"2025-07-17T05:51:27+00:00",89,"workout"
"2025-07-17T05:51:32+00:00",89,"workout"
"2025-07-17T05:51:37+00:00",88,"workout"
"2025-07-17T05:51:42+00:00",89,"workout"
"2025-07-17T05:51:47+00:00",89,"workout"
"2025-07-17T05:51:52+00:00",89,"workout"
"2025-07-17T05:51:57+00:00",88,"workout"
"2025-07-17T05:52:02+00:00",88,"workout"
"2025-07-17T05:52:07+00:00",87,"workout"
"2025-07-17T05:52:12+00:00",87,"workout"
"2025-07-17T05:52:17+00:00",87,"workout"
"2025-07-17T05:52:22+00:00",87,"workout"
"2025-07-17T05:52:27+00:00",86,"workout"
"2025-07-17T05:52:32+00:00",86,"workout"
"2025-07-17T05:52:37+00:00",85,"workout"
"2025-07-17T05:52:42+00:00",85,"workout"
"2025-07-17T05:52:47+00:00",84,"workout"
"2025-07-17T05:52:52+00:00",84,"workout"
"2025-07-17T05:52:57+00:00",84,"workout"
"2025-07-17T05:53:02+00:00",84,"workout"
"2025-07-17T05:53:07+00:00",82,"workout"
"2025-07-17T05:53:12+00:00",82,"workout"
"2025-07-17T05:53:17+00:00",82,"workout"
"2025-07-17T05:53:22+00:00",82,"workout"
"2025-07-17T05:53:27+00:00",81,"workout"
"2025-07-17T05:53:32+00:00",80,"awake"
"2025-07-17T05:53:32+00:00",81,"workout"
"2025-07-17T05:53:35+00:00",75,"awake"
"2025-07-17T05:53:37+00:00",80,"workout"
"2025-07-17T05:53:42+00:00",79,"workout"
"2025-07-17T05:53:43+00:00",78,"awake"
"2025-07-17T05:53:47+00:00",78,"workout"
"2025-07-17T05:53:52+00:00",78,"workout"
"2025-07-17T05:53:57+00:00",79,"workout"
"2025-07-17T05:54:02+00:00",80,"workout"
"2025-07-17T05:54:07+00:00",82,"workout"
"2025-07-17T05:54:12+00:00",84,"workout"
"2025-07-17T05:54:17+00:00",87,"workout"
"2025-07-17T05:54:22+00:00",90,"workout"
"2025-07-17T05:54:27+00:00",93,"workout"
"2025-07-17T05:54:32+00:00",95,"workout"
"2025-07-17T05:54:37+00:00",98,"workout"
"2025-07-17T05:54:42+00:00",99,"workout"
"2025-07-17T05:54:47+00:00",99,"workout"
"2025-07-17T05:54:52+00:00",100,"workout"
"2025-07-17T05:54:57+00:00",100,"workout"
"2025-07-17T05:55:02+00:00",101,"workout"
"2025-07-17T05:55:07+00:00",101,"workout"
"2025-07-17T05:55:12+00:00",101,"workout"
"2025-07-17T05:55:17+00:00",101,"workout"
"2025-07-17T05:55:22+00:00",101,"workout"
"2025-07-17T05:55:27+00:00",101,"workout"
"2025-07-17T05:55:32+00:00",101,"workout"
"2025-07-17T05:55:37+00:00",100,"workout"
"2025-07-17T05:55:42+00:00",100,"workout"
"2025-07-17T05:55:47+00:00",100,"workout"
"2025-07-17T05:55:52+00:00",100,"workout"
"2025-07-17T05:55:57+00:00",100,"workout"
"2025-07-17T05:56:02+00:00",100,"workout"
"2025-07-17T05:56:07+00:00",100,"workout"
"2025-07-17T05:56:12+00:00",99,"workout"
"2025-07-17T05:56:17+00:00",99,"workout"
"2025-07-17T05:56:22+00:00",99,"workout"
"2025-07-17T05:56:27+00:00",97,"workout"
"2025-07-17T05:56:32+00:00",96,"workout"
"2025-07-17T05:56:37+00:00",95,"workout"
"2025-07-17T05:56:42+00:00",96,"workout"
"2025-07-17T05:56:47+00:00",98,"workout"
"2025-07-17T05:56:52+00:00",99,"workout"
"2025-07-17T05:56:57+00:00",100,"workout"
"2025-07-17T05:57:02+00:00",101,"workout"
"2025-07-17T05:57:07+00:00",101,"workout"
"2025-07-17T05:57:12+00:00",100,"workout"
"2025-07-17T05:57:17+00:00",100,"workout"
"2025-07-17T05:57:22+00:00",101,"workout"
"2025-07-17T05:57:27+00:00",101,"workout"
"2025-07-17T05:57:32+00:00",101,"workout"
"2025-07-17T05:57:37+00:00",101,"workout"
"2025-07-17T05:57:42+00:00",100,"workout"
"2025-07-17T05:57:47+00:00",99,"workout"
"2025-07-17T05:57:52+00:00",99,"workout"
"2025-07-17T05:57:57+00:00",98,"workout"
"2025-07-17T05:58:02+00:00",96,"workout"
"2025-07-17T05:58:07+00:00",96,"workout"
"2025-07-17T05:58:12+00:00",95,"workout"
"2025-07-17T05:58:17+00:00",96,"workout"
"2025-07-17T05:58:22+00:00",96,"workout"
"2025-07-17T05:58:27+00:00",96,"workout"
"2025-07-17T05:58:32+00:00",94,"workout"
"2025-07-17T05:58:37+00:00",94,"workout"
"2025-07-17T05:58:42+00:00",93,"workout"
"2025-07-17T05:58:47+00:00",93,"workout"
"2025-07-17T05:58:52+00:00",93,"workout"
"2025-07-17T05:58:57+00:00",92,"workout"
"2025-07-17T05:59:02+00:00",93,"workout"
"2025-07-17T05:59:07+00:00",94,"workout"
"2025-07-17T05:59:12+00:00",95,"workout"
"2025-07-17T05:59:17+00:00",96,"workout"
"2025-07-17T05:59:22+00:00",96,"workout"
"2025-07-17T05:59:27+00:00",96,"workout"
"2025-07-17T05:59:32+00:00",96,"workout"
"2025-07-17T05:59:37+00:00",95,"workout"
"2025-07-17T05:59:42+00:00",95,"workout"
"2025-07-17T05:59:47+00:00",94,"workout"
"2025-07-17T05:59:52+00:00",93,"workout"
"2025-07-17T05:59:57+00:00",92,"workout"
"2025-07-17T06:00:02+00:00",90,"workout"
"2025-07-17T06:00:07+00:00",88,"workout"
"2025-07-17T06:00:12+00:00",87,"workout"
"2025-07-17T06:00:17+00:00",87,"workout"
"2025-07-17T06:00:22+00:00",86,"workout"
"2025-07-17T06:00:27+00:00",86,"workout"
"2025-07-17T06:00:32+00:00",86,"workout"
